region,예측대상수,평균점수_A,평균점수_B,A상위10퍼센트비율,위험판정0건지역
부산광역시 사상구,20,0.0022722983024257787,0.025081400252612757,0.15,False
부산광역시 기장군,19,0.0031406185038567107,0.013505402137075172,0.21052631578947367,True
경상북도 영주시,19,0.006948229660512929,0.016971520594282714,0.2631578947368421,False
부산광역시 동래구,18,0.0062707296262593075,0.044519954344178485,0.05555555555555555,False
강원특별자치도 동해시,18,0.002455004058125624,0.01779090311806618,0.0,False
강원특별자치도 영월군,18,0.06074461326054464,0.03019880381841749,0.5555555555555556,False
강원특별자치도 횡성군,17,0.010725078754727993,0.018711554543365483,0.0,False
강원특별자치도 화천군,17,0.004140319629384707,0.02583689196210573,0.0,False
대구광역시 남구,16,0.01152996976837179,0.021320851264478496,0.0,False
경상북도 문경시,16,0.013452749108759978,0.01191763765009176,0.0,False
부산광역시 중구,16,0.008828086974964525,0.017722584144280816,0.0,False
충청북도 제천시,15,0.3569632923470108,0.0223121951401073,1.0,False
경상북도 예천군,15,0.003483677359705903,0.012864920178111328,0.0,False
