검증,모델,그룹,n,위험군,기준선,PR-AUC,PR-AUC 배수,ROC-AUC,Recall@5%,Lift@5%,Recall@10%,Lift@10%,Recall@20%,Lift@20%,PR-AUC 반복 표준편차,PR-AUC CI하한,PR-AUC CI상한
R2 시군구 단위 (처음 보는 지역),HGB(튜닝),공식점검,12064,1356,0.11240053050397876,0.19350247694578585,1.7215441606740125,0.5994349329974668,0.14134709931170106,2.827879612100103,0.22738446411012783,2.2745988184283434,0.35496558505408066,1.7746808197647859,0.006142385407946877,0.16939223357126817,0.2056223366142844
R2 시군구 단위 (처음 보는 지역),HGB(튜닝),자율점검,43005,819,0.01904429717474712,0.0220938998018447,1.1601320646866071,0.5044145786453661,0.08017908017908018,1.6037680665587644,0.1452991452991453,1.4531604054859872,0.2568172568172568,1.2840862840862843,0.0004883591291218883,0.020776848637176427,0.026420430194878476
"R3 (시군구,시설명) 단위 중복 제거",업종(ftype) 위험률,전체,55069,2175,0.03949590513719153,0.1519934051472203,3.8483332542769078,0.7529620101911334,0.2795402298850575,5.5917184596949605,0.4303448275862069,4.303370130805306,0.5734865900383141,2.867380881316499,0.0002325049099842312,0.13981901098052524,0.16252690052449476
"R3 (시군구,시설명) 단위 중복 제거",업종(ftype) 위험률,공식점검,12064,1356,0.11240053050397876,0.20736644882075272,1.8448885240218,0.6788483297943184,0.11946902654867257,2.3901730286619998,0.22517207472959685,2.252467586681473,0.3938053097345133,1.9688633471351713,0.00017072001201337564,0.19283741813939487,0.22317432544512297
"R3 (시군구,시설명) 단위 중복 제거",업종(ftype) 위험률,자율점검,43005,819,0.01904429717474712,0.02467427529145079,1.2956254077031029,0.5753775539960531,0.06796906796906797,1.3595394269812875,0.15343915343915346,1.5345699520118126,0.29914529914529914,1.4957264957264957,0.0002946707316519134,0.021727339681880994,0.027372607062884018
"R3 (시군구,시설명) 단위 중복 제거",로지스틱(balanced),전체,55069,2175,0.03949590513719153,0.25502858646627385,6.457089300281027,0.8548394453911801,0.3705747126436782,7.41270572124036,0.5459003831417625,5.458904702965992,0.7391570881226054,3.695718329927706,0.0018310722865333977,0.23367254026386944,0.2738525824547856
"R3 (시군구,시설명) 단위 중복 제거",로지스틱(balanced),공식점검,12064,1356,0.11240053050397876,0.32301118362126335,2.873751415344337,0.7834075571467349,0.19370698131760078,3.8754245814519668,0.34464110127826947,3.447554101012473,0.5322025565388397,2.660792226309392,0.002107527985988139,0.30582123063946437,0.34657239399388867
"R3 (시군구,시설명) 단위 중복 제거",로지스틱(balanced),자율점검,43005,819,0.01904429717474712,0.11936774402342364,6.267899672438747,0.8016936247273327,0.3540903540903541,7.082630547746828,0.4920634920634921,4.921207087486157,0.6320716320716321,3.160358160358161,0.0020974773700855897,0.10057450625292523,0.13691940772966427
"R3 (시군구,시설명) 단위 중복 제거",랜덤포레스트,전체,55069,2175,0.03949590513719153,0.282798522871203,7.160198554480127,0.8537397805804625,0.3972413793103448,7.946126232198103,0.5760919540229885,5.760814929379326,0.7264367816091954,3.6321179522822566,0.0,0.2656612859533127,0.30049271699589547
"R3 (시군구,시설명) 단위 중복 제거",랜덤포레스트,공식점검,12064,1356,0.11240053050397877,0.372150619203322,3.31093294252867,0.8122823009951483,0.24041297935103245,4.8098543663198265,0.36799410029498525,3.681161547229438,0.5685840707964602,2.8426847203019046,0.0,0.35140230126120364,0.3988234758234388
"R3 (시군구,시설명) 단위 중복 제거",랜덤포레스트,자율점검,43005,819,0.01904429717474712,0.10873648396715155,5.709661163623141,0.7912123657039033,0.32234432234432236,6.447636084845388,0.4444444444444444,4.444961240310078,0.6043956043956044,3.0219780219780223,0.0,0.0953375986529787,0.12681846868464083
"R3 (시군구,시설명) 단위 중복 제거",HGB(튜닝),전체,55069,2175,0.03949590513719153,0.3694846839794525,9.355012442328489,0.868487981529458,0.45517241379310347,9.104936307726993,0.6182375478927203,6.182263214981698,0.7540229885057471,3.77004648211576,0.006475363749197819,0.3425189856360546,0.3867474464611855
"R3 (시군구,시설명) 단위 중복 제거",HGB(튜닝),공식점검,12064,1356,0.11240053050397876,0.4945242366419313,4.399661055197831,0.8475177446612666,0.28490658800393315,5.700021687693947,0.46705998033431656,4.6721489243393,0.6669124877089478,3.3342860554168037,0.007562004245218212,0.46747904771711823,0.5201826237379319
"R3 (시군구,시설명) 단위 중복 제거",HGB(튜닝),자율점검,43005,819,0.01904429717474712,0.11961267133692659,6.280760599321769,0.8098964494332627,0.3455433455433455,6.911670500042594,0.47822547822547823,4.782810858392254,0.6483516483516483,3.2417582417582422,0.004696376542172287,0.09717752921377401,0.13401562822759486
